firm_id,sector,city,gender,is_poor,has_debt_true,debt_type_x,total_revenue_diary,sales_cash,sales_credit,autoconsumo_imputed,cogs,gross_profit,transport_exp,rent_exp,utilities_exp,guild_exp,total_op_exp_conventional,labor_imputed,depreciation_imputed,total_op_exp_adjusted,interest_paid,net_income_conventional,net_income_adjusted,accounting_gap_bs,accounting_gap_pct,cash_flow_operating,loans_received,debt_payments_total,household_draws,household_injections,eh_nonresponder_x,eh_yi_tot_annual,eh_yi_net_annual,diary_yi_tot_annualized,diary_yi_net_conv_annualized,diary_yi_net_adj_annualized,ratio_diary_eh_income,gross_margin_pct,net_margin_conventional_pct,net_margin_adjusted_pct,interest_burden_pct,labor_imputed_pct_gross_profit,roa_adjusted_annualized,hourly_return_adjusted_bs,hourly_vs_minwage_ratio,typology,eh_nonresponder_y,eh_yi_tot,eh_yi_net,eh_ci_tot,eh_ci1,eh_ci2,eh_ci3,eh_ci4,eh_ci5,eh_ci6,eh_ci7,eh_ci8,total_revenue_diary_annual,cogs_annual,gross_profit_annual,transport_exp_annual,rent_exp_annual,utilities_exp_annual,guild_exp_annual,total_op_exp_conventional_annual,labor_imputed_annual,depreciation_imputed_annual,total_op_exp_adjusted_annual,interest_paid_annual,net_income_conventional_annual,net_income_adjusted_annual,accounting_gap_bs_annual,cash_flow_operating_annual,household_draws_annual,tool_value,inventory_init,receivables_init,payables_init,cash_initial,debt_amount,debt_type_y,monthly_interest_rate,years_operating,age,shadow_wage_per_hour,owner_hours_weekly,family_hours_weekly,n_family_workers,current_assets,noncurrent_assets,total_assets,accum_depreciation,net_fixed_assets,total_assets_net,current_liab,noncurrent_liab,total_liab,book_equity,retained_earnings_est,gross_margin,ebitda_weekly,ebitda_margin,net_margin_conv,net_margin_adj,roa_conventional,roa_adjusted,roe_conventional,roe_adjusted,earnings_per_bv_conv,earnings_per_bv_adj,debt_to_assets,debt_to_equity,equity_multiplier,current_ratio,quick_ratio,cash_ratio,interest_coverage,debt_service_coverage,asset_turnover,inventory_days,receivable_days,payable_days,cash_conversion_cycle,total_hours_weekly,revenue_per_hour,value_added_per_hour,net_income_per_hour_adj,mw_multiple,effective_annual_rate,ebitda_annual,debt_ebitda,dupont_check,fcf_annual,pv_going_concern_g0,pv_going_concern_g2,pv_going_concern_g5,tobin_q_g0,tobin_q_g2,payback_years,extraction_rate
F001,comercio,Santa Cruz,M,False,True,IFD/cooperativa,1317.91,1157.65,130.46,29.8,274.21,1043.7,37.76,0.0,0.0,0.0,37.76,677.76,101.91,817.43,15.04,990.9,211.23,779.67,78.7,926.55,0.0,69.44,122.38,169.7,False,72800,33750,68531.32,51526.8,10983.96,0.941,79.2,75.2,16.0,1.1,64.9,36.2,3.76,0.276,I_Viable,False,72800,33750,39100,35100,2400,1300,0,300,0,0,0,68531.32,14258.919999999998,54272.4,1963.52,0.0,0.0,0.0,1963.52,35243.52,5299.32,42506.36,782.0799999999999,51526.799999999996,10983.96,40542.84,48180.6,6363.76,26497.0,1231.42,398.49,411.87,2193.48,3169.13,IFD/cooperativa,0.0206,3,25,12.06,56.2,0.0,0,3823.3900000000003,26497.0,30320.39,15897.96,10599.04,14422.43,411.87,3169.13,3581.0,10841.43,61832.16,0.7919357163994506,1107.85,0.8406112708758563,0.7518722826293145,0.1602764983951863,3.5726850468333002,0.7615887197927117,4.752767854425108,1.0131467896762696,4.752767854425108,1.0131467896762696,0.24829380347139837,0.33030697979879037,1.3303069797987903,9.283001918080949,6.2931750309563705,1.6643625133734472,73.66023936170212,41.68356760189662,4.751717983723964,31.435542102767958,2.116555758739216,10.514167973451006,23.037929888056166,56.2,23.45035587188612,18.5711743772242,3.7585409252669035,0.27560511780534613,0.27722310975643905,57608.2,0.06216128953864207,4.752767854425108,42881.28,238229.33333333334,268008.0,329856.0,16.517974664001375,18.582721497001547,0.3363339433897496,0.09285914819676609
F002,comercio,Tarija,F,False,True,prestamista_informal,867.47,807.92,45.79,13.76,116.82,750.65,34.02,54.78,27.21,39.26,155.27,939.12,55.56,1149.95,65.25,530.13,-464.55,994.68,187.6,752.81,0.0,84.17,74.19,0.0,True,0,0,45108.44,27566.55,-24156.81,,86.5,61.1,-53.6,7.5,125.1,-151.7,-9.13,-0.669,II_Precaria,True,0,0,0,0,0,0,0,0,0,0,0,45108.44,6074.639999999999,39033.799999999996,1769.0400000000002,2848.56,1414.92,2041.52,8074.040000000001,48834.24,2889.12,59797.4,3393.0,27566.76,-24156.600000000002,51723.36,39146.119999999995,3857.88,14445.52,629.88,270.58,180.02,581.84,2132.88,prestamista_informal,0.1325,13,39,18.45,50.9,0.0,0,1482.3,14445.52,15927.82,37558.56,0.0,1482.3,180.02,2132.88,2312.9,1.0,143347.152,0.8653325187038168,650.94,0.7503890624459636,0.6111219984552779,-0.5355228422884941,18.597287998380892,-16.29670107265736,27566.76,-24156.600000000002,27566.76,-24156.600000000002,1.5603454091614384,2312.9,1482.3,8.23408510165537,4.735140539940007,0.6707321290649821,9.976091954022989,7.458586701528979,30.431383660527562,37.7431946584489,2.1834299745236145,10.78702277007362,29.139601862898893,50.9,17.042632612966603,14.7475442043222,-9.12671905697446,-0.6692412111210738,3.4510095717384983,33848.880000000005,0.06833017813292493,27566.760000000002,36256.99999999999,201427.77777777775,226606.24999999994,278899.99999999994,135.88867150899128,152.87475544761517,0.04088313980748546,0.08552457145492062
F003,comercio,La Paz,F,True,False,ninguno,3426.64,3125.13,262.04,39.47,1149.13,2277.51,27.16,185.71,0.0,140.48,353.35,598.8,257.01,1209.16,0.0,1924.16,1068.35,855.81,44.5,3228.53,0.0,0.0,243.5,0.0,True,0,0,178185.28,100056.22,55554.1,,66.5,56.2,31.2,0.0,26.3,76.0,22.93,1.681,I_Viable,True,0,0,0,0,0,0,0,0,0,0,0,178185.28,59754.76000000001,118430.52000000002,1412.32,9656.92,0.0,7304.959999999999,18374.2,31137.6,13364.52,62876.32000000001,0.0,100056.32,55554.2,44502.119999999995,167883.56,12662.0,66822.78,2384.35,654.76,730.21,3197.32,0.0,ninguno,0.0,10,34,12.85,46.6,0.0,0,6236.43,66822.78,73059.20999999999,133645.2,0.0,6236.43,730.21,0.0,730.21,5506.22,400225.28,0.6646481684682372,2181.17,0.6365331636822077,0.5615296617094296,0.31177771811453786,16.043845597561425,8.908013077994942,18.171507858385606,10.089353494774999,18.171507858385606,10.089353494774999,0.11708782107712265,0.13261547849522903,1.132615478495229,8.54059791019022,5.275304364497884,0.933077300212453,,,28.571679630814423,14.52442282422354,1.3375551560712535,4.4481216224448055,11.413856357849989,46.6,73.53304721030042,48.873605150214594,22.92596566523605,1.6811080665617626,0.0,113420.84,0.006438058473204749,18.171507858385606,154519.04,858439.1111111112,965744.0,1188608.0,137.64912155048822,154.8552617442992,0.040360268870425285,0.07106086428688162
F004,comercio,Santa Cruz,F,True,False,ninguno,2905.91,2756.6,93.42,55.89,720.89,2185.02,43.96,160.88,24.67,0.0,229.51,1672.32,106.02,2007.85,0.0,1955.51,177.17,1778.34,90.9,2199.8,0.0,0.0,513.49,433.94,False,104000,39950,151107.32,101686.34,9212.66,1.453,75.2,67.3,6.1,0.0,76.5,27.9,1.48,0.108,I_Viable,False,104000,39950,67000,51850,3400,2150,6950,550,0,850,1250,151107.32,37486.28,113621.04,2285.92,8365.76,1282.8400000000001,0.0,11934.52,86960.64,5513.04,104408.2,0.0,101686.52,9212.84,92473.68,114389.6,26701.48,27564.45,2455.2,890.87,841.76,2110.48,0.0,ninguno,0.0,1,55,15.12,58.5,61.3,2,5456.55,27564.45,33021.0,5513.04,22051.41,27507.96,841.76,0.0,841.76,26666.2,40674.60800000001,0.7519228055927404,2061.53,0.7094266512039259,0.6729423829368425,0.06096885313034471,3.6966216324293044,0.3349154208454571,3.813311232946577,0.34548754603205556,3.813311232946577,0.34548754603205556,0.03060059706354088,0.03156655241466726,1.031566552414667,6.482310872457708,3.5655650066527276,0.726271632638313,,,5.49322159840279,23.840530455409287,2.1460024570616434,8.173674208270333,17.8128587042006,119.8,24.25634390651085,18.23889816360601,1.478881469115192,0.10844295954731212,0.0,107199.56000000001,0.007852271035440816,3.813311232946576,108876.56000000001,604869.7777777779,680478.5000000001,837512.0000000001,21.988899859450786,24.737512341882137,0.25265272892530766,0.17670540381498392
F005,comercio,Cochabamba,F,False,True,prestamista_informal,2793.86,2759.65,0.0,34.21,594.03,2199.83,42.43,0.0,0.0,127.76,170.19,956.76,284.24,1411.19,279.25,1750.39,509.39,1241.0,70.9,1920.6,1296.23,388.63,440.49,0.0,False,130000,35600,145280.72,91020.23,26488.23,1.118,78.7,62.7,18.2,10.0,43.5,32.9,5.98,0.438,I_Viable,False,130000,35600,96100,79050,3600,2500,8700,800,0,0,1450,145280.72,30889.559999999998,114391.16,2206.36,0.0,0.0,6643.52,8849.88,49751.52,14780.48,73381.88,14521.0,91020.28,26488.28,64532.0,99871.2,22905.48,73901.36,2628.28,340.08,676.03,3720.75,10850.57,prestamista_informal,0.1114,13,61,12.03,47.4,37.8,1,6689.110000000001,73901.36,80590.47,192146.24,0.0,6689.110000000001,676.03,10850.57,11526.6,1.0,473305.456,0.7873801836885169,2313.88,0.8282018426120135,0.6265131395273922,0.18232481226689953,13.607233249266343,3.9599109597539877,91020.28,26488.28,91020.28,26488.28,1.723188884619927,11526.6,6689.110000000001,9.894694022454626,6.006878392970727,1.331759644362996,8.286051924798567,5.669235776417857,21.718991016742137,30.97143241923809,0.8520684644184031,7.966281164250963,23.857219719405528,85.19999999999999,32.79178403755869,25.819600938967138,5.978755868544601,0.43840834734628487,2.5517689756094826,120321.76000000001,0.0957981332719867,91020.28,85090.72,472726.22222222225,531817.0,654544.0,70.67101934670265,79.50489676504048,0.07861151016233028,0.15766359087427428
F006,comercio,La Paz,F,False,True,prestamista_informal,3670.45,3273.97,271.27,125.21,226.37,3444.08,61.48,264.6,123.51,0.0,449.59,618.12,460.0,1527.71,137.06,2857.43,1779.31,1078.12,37.7,3199.88,0.0,217.5,522.41,286.16,False,182000,35500,190863.4,148586.26,92524.02,1.049,93.8,77.8,48.5,3.7,17.9,72.6,34.89,2.558,I_Viable,False,182000,35500,147250,109950,6600,3750,12800,1450,10800,0,1900,190863.4,11771.24,179092.16,3196.96,13759.2,6422.52,0.0,23378.68,32142.24,23920.0,79440.92,7127.12,148586.36,92524.12,56062.23999999999,166393.76,27165.32,119600.3,3230.51,1275.1,758.95,3398.37,6867.17,prestamista_informal,0.0864,4,48,12.12,51.0,0.0,0,7903.98,119600.3,127504.28,95680.0,23920.300000000003,31824.280000000002,758.95,6867.17,7626.12,24198.160000000003,237738.17599999998,0.9383263632524622,3454.49,0.9411625277554523,0.7784958247626312,0.48476617308504405,4.6689621886182495,2.907343701098658,6.140399104725317,3.823601463912958,6.140399104725317,3.823601463912958,0.2396321299334973,0.31515288765757393,1.3151528876575738,10.414361947427366,6.157810132419789,0.9258728493781416,25.20421713118342,18.341943160516198,5.997414552662306,99.89649688562973,2.431772670925908,23.468878384945,78.85939117161064,51.0,71.96960784313725,67.53098039215686,34.88843137254902,2.5582880244392423,1.7031931810503398,179633.47999999998,0.042453778660859885,6.140399104725317,142473.76,791520.888888889,890461.0,1095952.0,24.871603973095038,27.980554469731914,0.22336941202365965,0.14232859731095643
F007,comercio,Cochabamba,F,False,False,ninguno,1347.78,1298.26,24.15,25.37,295.2,1052.58,20.3,0.0,12.82,0.0,33.12,1518.9,87.05,1639.07,0.0,1019.46,-586.49,1605.95,157.5,1208.09,0.0,0.0,147.4,0.0,False,52000,22600,70084.56,53011.66,-30497.74,1.348,78.1,75.6,-43.5,0.0,144.3,-118.5,-7.07,-0.518,II_Precaria,False,52000,22600,30500,27850,1450,0,0,350,0,250,600,70084.56,15350.4,54734.159999999996,1055.6000000000001,0.0,666.64,0.0,1722.2399999999998,78982.8,4526.599999999999,85231.64,0.0,53011.92,-30497.48,83509.40000000001,62820.67999999999,7664.8,22634.08,1322.71,400.5,51.2,1384.25,0.0,ninguno,0.0,17,25,19.09,60.1,22.9,1,3107.46,22634.08,25741.54,76952.2,0.0,3107.46,51.2,0.0,51.2,3056.26,360481.05600000004,0.780973155856297,1106.51,0.820987104720355,0.7563994123670036,-0.4351526213476977,17.05956633391902,-9.814279186216394,17.345356743209017,-9.97869291225223,17.345356743209017,-9.97869291225223,0.01647647918235472,0.016752501423308225,1.016752501423308,60.692578125,34.8583984375,1.0270593123506804,,,22.5536483172752,31.365074525745257,2.0800872545964477,1.2140921409214094,32.2310696394203,83.0,16.23831325301205,12.681686746987952,-7.066144578313253,-0.5181440478255103,0.0,57538.52,0.0008898386680783587,17.34535674320902,58294.079999999994,323856.0,364337.99999999994,448415.99999999994,104.21887972813809,117.24623969415534,0.053306613638983584,0.10936502990102243
F008,comercio,Tarija,M,True,True,proveedor,1137.85,884.54,221.36,31.95,20.61,1117.24,51.27,140.37,21.34,0.0,212.98,758.94,249.02,1220.94,29.69,874.57,-133.39,1007.96,115.3,745.64,0.0,117.13,119.31,0.0,True,0,0,59168.2,45477.51,-6936.41,,98.2,76.9,-11.7,2.6,67.9,-9.9,-2.31,-0.169,II_Precaria,True,0,0,0,0,0,0,0,0,0,0,0,59168.2,1071.72,58096.48,2666.04,7299.24,1109.68,0.0,11074.96,39464.880000000005,12949.04,63488.880000000005,1543.88,45477.64,-6936.279999999999,52413.92,38773.28,6204.12,64745.13,2117.56,34.27,149.55,3150.3,5213.27,proveedor,0.0247,12,49,13.13,57.8,0.0,0,5302.130000000001,64745.13,70047.26,155388.48,0.0,5302.130000000001,149.55,5213.27,5362.820000000001,1.0,218292.672,0.9818868919453356,1153.2800000000002,1.0135606626532498,0.7686162499450719,-0.1172298633387529,8.577239713096434,-1.3082063246280264,45477.64,-6936.279999999999,45477.64,-6936.279999999999,1.0114463432620475,5362.820000000001,5302.130000000001,35.4538950183885,21.294349715814107,2.76864261545898,38.844055237453695,19.859525560249914,11.159326534807708,719.2100921882582,0.21082743771147341,50.79330422125182,668.6276154047179,57.8,19.68598615916955,19.329411764705885,-2.3077854671280273,-0.16922457362683077,0.3401729085670424,59970.56000000001,0.08942421081277213,45477.64000000001,25824.239999999998,143468.0,161401.49999999997,198647.99999999997,27.058559484584492,30.440879420157547,0.2053160131721205,0.10485564881135476
F009,comercio,La Paz,F,False,False,ninguno,1053.51,968.22,58.78,26.51,119.72,933.79,32.16,86.57,14.12,0.0,132.85,1029.48,75.36,1237.69,0.0,800.94,-303.9,1104.84,137.9,886.57,0.0,0.0,188.12,459.06,False,67600,30250,54782.52,41648.75,-15802.93,0.81,88.6,76.0,-28.8,0.0,110.2,-69.4,-5.51,-0.404,II_Precaria,False,67600,30250,37600,29800,2000,1300,3800,300,0,400,0,54782.52,6225.44,48557.08,1672.3199999999997,4501.639999999999,734.24,0.0,6908.2,53532.96,3918.72,64359.880000000005,0.0,41648.880000000005,-15802.8,57451.67999999999,46101.64,9782.24,19594.34,1500.84,259.07,411.87,1403.39,0.0,ninguno,0.0,3,19,18.65,55.2,0.0,0,3163.3,19594.34,22757.64,11756.16,7838.18,11001.48,411.87,0.0,411.87,10589.609999999999,49978.65600000001,0.8863608318857913,876.3000000000001,0.8317908705185524,0.7602585642281516,-0.28846427656120965,3.785752462395969,-1.4364249173747532,3.932994699521513,-1.4922929173029036,3.932994699521513,-1.4922929173029036,0.03743769020168196,0.03889378362375952,1.0388937836237595,7.680336028358463,4.036370699492559,1.3321088551603688,,,4.9795591138646795,87.75375877046442,1.7213790092168084,24.08194119612429,65.39319658355693,55.2,19.08532608695652,16.916485507246374,-5.505434782608695,-0.40370080624378746,0.0,45567.600000000006,0.009038659047217758,3.9329946995215117,42182.92,234349.55555555556,263643.25,324484.0,21.301639011801647,23.96434388827685,0.26080413589196766,0.1785649875179163
F010,comercio,Santa Cruz,F,True,False,ninguno,1418.11,1378.36,0.0,39.75,457.22,960.89,31.82,0.0,0.0,131.88,163.7,1802.64,125.27,2091.61,0.0,797.19,-1130.72,1927.91,241.8,775.68,0.0,0.0,197.88,0.0,False,72800,24350,73741.72,41453.7,-58797.62,1.013,67.8,56.2,-79.7,0.0,187.6,-165.4,-8.86,-0.65,II_Precaria,False,72800,24350,49850,40150,2600,1450,4600,500,0,0,550,73741.72,23775.440000000002,49966.28,1654.64,0.0,0.0,6857.76,8512.4,93737.28,6514.04,108763.72,0.0,41453.880000000005,-58797.44,100251.32,40335.36,10289.76,32569.72,1236.77,137.41,247.8,1600.73,0.0,ninguno,0.0,5,18,15.4,57.3,70.3,2,2974.91,32569.72,35544.630000000005,32570.2,0.0,2974.91,247.8,0.0,247.8,2727.1099999999997,82907.76000000001,0.6775849546227021,922.46,0.65048550535572,0.5621496216795595,-0.7973429423669532,13.934498858789008,-19.76444329408285,15.200662972890719,-21.560347767416793,15.200662972890719,-21.560347767416793,0.08329663754533752,0.09086542163682435,1.0908654216368243,12.005286521388214,7.014285714285714,1.1287770342216048,,,24.787882658635052,18.934845369843835,0.6782760152597471,3.7937972967061806,15.819324088397401,127.6,11.11371473354232,7.5304858934169285,-8.861442006269593,-0.6497890582074062,0.0,47967.92,0.005165952578306502,15.200662972890719,33821.32,187896.22222222222,211383.25,260164.0,63.16030475618497,71.05534285070809,0.0879596065440379,0.13953783556987823
