firm_id,sector,city,gender,is_poor,has_debt_true,debt_type_x,typology,years_operating,age,n_family_workers,owner_hours_weekly,family_hours_weekly,total_hours_weekly,total_revenue_diary,cogs,gross_profit,labor_imputed,depreciation_imputed,interest_paid,net_income_conventional,net_income_adjusted,accounting_gap_bs,accounting_gap_pct,cash_flow_operating,household_draws,extraction_rate,total_assets_net,book_equity,total_liab,roa_conventional,roa_adjusted,roe_conventional,roe_adjusted,earnings_per_bv_conv,earnings_per_bv_adj,asset_turnover,gross_margin_pct,net_margin_conventional_pct,net_margin_adjusted_pct,interest_burden_pct,labor_imputed_pct_gross_profit,tobin_q_g0,fcf_annual,pv_going_concern_g0,hourly_return_adjusted_bs,mw_multiple,eh_yi_net_annual,diary_yi_net_adj_annualized,ratio_diary_eh_income,effective_annual_rate,debt_amount,autoconsumo_imputed,net_income_per_hour_adj,net_income_post_iva,sector_en
F001,comercio,Santa Cruz,M,False,True,IFD/cooperativa,I_Viable,3,25,0,56.2,0.0,56.2,1317.91,274.21,1043.7,677.76,101.91,15.04,990.9,211.23,779.67,78.7,926.55,122.38,0.09,14422.43,10841.43,3581.0,3.57,0.76,4.75,1.01,4.75,1.01,4.75,79.2,75.2,16.0,1.1,64.9,16.52,42881.28,238229.33,3.76,0.28,33750,10983.96,0.94,0.28,3169.13,29.8,3.76,39.9,Commerce
F002,comercio,Tarija,F,False,True,prestamista_informal,II_Precaria,13,39,0,50.9,0.0,50.9,867.47,116.82,750.65,939.12,55.56,65.25,530.13,-464.55,994.68,187.6,752.81,74.19,0.09,1482.3,1.0,2312.9,18.6,-16.3,27566.76,-24156.6,27566.76,-24156.6,30.43,86.5,61.1,-53.6,7.5,125.1,135.89,36257.0,201427.78,-9.13,-0.67,0,-24156.81,,3.45,2132.88,13.76,-9.13,-577.32,Commerce
F003,comercio,La Paz,F,True,False,ninguno,I_Viable,10,34,0,46.6,0.0,46.6,3426.64,1149.13,2277.51,598.8,257.01,0.0,1924.16,1068.35,855.81,44.5,3228.53,243.5,0.07,6236.43,5506.22,730.21,16.04,8.91,18.17,10.09,18.17,10.09,28.57,66.5,56.2,31.2,0.0,26.3,137.65,154519.04,858439.11,22.93,1.68,0,55554.1,,0.0,0.0,39.47,22.93,622.89,Commerce
F004,comercio,Santa Cruz,F,True,False,ninguno,I_Viable,1,55,2,58.5,61.3,119.8,2905.91,720.89,2185.02,1672.32,106.02,0.0,1955.51,177.17,1778.34,90.9,2199.8,513.49,0.18,27507.96,26666.2,841.76,3.7,0.33,3.81,0.35,3.81,0.35,5.49,75.2,67.3,6.1,0.0,76.5,21.99,108876.56,604869.78,1.48,0.11,39950,9212.66,1.45,0.0,0.0,55.89,1.48,-200.6,Commerce
F005,comercio,Cochabamba,F,False,True,prestamista_informal,I_Viable,13,61,1,47.4,37.8,85.2,2793.86,594.03,2199.83,956.76,284.24,279.25,1750.39,509.39,1241.0,70.9,1920.6,440.49,0.16,6689.11,1.0,11526.6,13.61,3.96,91020.28,26488.28,91020.28,26488.28,21.72,78.7,62.7,18.2,10.0,43.5,70.67,85090.72,472726.22,5.98,0.44,35600,26488.23,1.12,2.55,10850.57,34.21,5.98,146.19,Commerce
F006,comercio,La Paz,F,False,True,prestamista_informal,I_Viable,4,48,0,51.0,0.0,51.0,3670.45,226.37,3444.08,618.12,460.0,137.06,2857.43,1779.31,1078.12,37.7,3199.88,522.41,0.14,31824.28,24198.16,7626.12,4.67,2.91,6.14,3.82,6.14,3.82,6.0,93.8,77.8,48.5,3.7,17.9,24.87,142473.76,791520.89,34.89,2.56,35500,92524.02,1.05,1.7,6867.17,125.21,34.89,1302.15,Commerce
F007,comercio,Cochabamba,F,False,False,ninguno,II_Precaria,17,25,1,60.1,22.9,83.0,1347.78,295.2,1052.58,1518.9,87.05,0.0,1019.46,-586.49,1605.95,157.5,1208.09,147.4,0.11,3107.46,3056.26,51.2,17.06,-9.81,17.35,-9.98,17.35,-9.98,22.55,78.1,75.6,-43.5,0.0,144.3,104.22,58294.08,323856.0,-7.07,-0.52,22600,-30497.74,1.35,0.0,0.0,25.37,-7.07,-761.7,Commerce
F008,comercio,Tarija,M,True,True,proveedor,II_Precaria,12,49,0,57.8,0.0,57.8,1137.85,20.61,1117.24,758.94,249.02,29.69,874.57,-133.39,1007.96,115.3,745.64,119.31,0.1,5302.13,1.0,5362.82,8.58,-1.31,45477.64,-6936.28,45477.64,-6936.28,11.16,98.2,76.9,-11.7,2.6,67.9,27.06,25824.24,143468.0,-2.31,-0.17,0,-6936.41,,0.34,5213.27,31.95,-2.31,-281.31,Commerce
F009,comercio,La Paz,F,False,False,ninguno,II_Precaria,3,19,0,55.2,0.0,55.2,1053.51,119.72,933.79,1029.48,75.36,0.0,800.94,-303.9,1104.84,137.9,886.57,188.12,0.18,11001.48,10589.61,411.87,3.79,-1.44,3.93,-1.49,3.93,-1.49,4.98,88.6,76.0,-28.8,0.0,110.2,21.3,42182.92,234349.56,-5.51,-0.4,30250,-15802.93,0.81,0.0,0.0,26.51,-5.51,-440.86,Commerce
F010,comercio,Santa Cruz,F,True,False,ninguno,II_Precaria,5,18,2,57.3,70.3,127.6,1418.11,457.22,960.89,1802.64,125.27,0.0,797.19,-1130.72,1927.91,241.8,775.68,197.88,0.14,2974.91,2727.11,247.8,13.93,-19.76,15.2,-21.56,15.2,-21.56,24.79,67.8,56.2,-79.7,0.0,187.6,63.16,33821.32,187896.22,-8.86,-0.65,24350,-58797.62,1.01,0.0,0.0,39.75,-8.86,-1315.07,Commerce
