tx_id,firm_id,sector,city,gender,is_poor,day_num,day_name,module,category,description,amount_bs,currency,usd_amount,payment_type,is_credit,counterpart,account_db,account_cr,is_imputed,capital_paid,interest_paid,cash_end,inventory_end
TX00001,F001,comercio,Santa Cruz,M,False,1,Lunes,M1A_VENTAS,venta_contado,Venta comercio día 1 tx1,30.37,Bs,0.0,efectivo,False,cliente,1010,4010.0,False,0.0,0.0,2454.91,1231.42
TX00002,F001,comercio,Santa Cruz,M,False,1,Lunes,M1A_VENTAS,venta_contado,Venta comercio día 1 tx2,6.08,Bs,0.0,efectivo,False,cliente,1010,4010.0,False,0.0,0.0,2454.91,1231.42
TX00003,F001,comercio,Santa Cruz,M,False,1,Lunes,M1A_VENTAS,venta_contado,Venta comercio día 1 tx3,31.65,Bs,0.0,efectivo,False,cliente,1010,4010.0,False,0.0,0.0,2454.91,1231.42
TX00004,F001,comercio,Santa Cruz,M,False,1,Lunes,M1A_VENTAS,venta_contado,Venta comercio día 1 tx5,7.73,Bs,0.0,efectivo,False,cliente,1010,4010.0,False,0.0,0.0,2454.91,1231.42
TX00005,F001,comercio,Santa Cruz,M,False,1,Lunes,M1A_VENTAS,venta_contado,Venta comercio día 1 tx6,50.46,Bs,0.0,efectivo,False,cliente,1010,4010.0,False,0.0,0.0,2454.91,1231.42
TX00006,F001,comercio,Santa Cruz,M,False,1,Lunes,M1B_COBROS,cobro_cxc,Cobro cuenta por cobrar cliente,144.3,Bs,0.0,efectivo,False,cliente,1010,1110.0,False,0.0,0.0,2454.91,1231.42
TX00007,F001,comercio,Santa Cruz,M,False,1,Lunes,M5_TRABAJO_IMPUTADO,mano_obra_imputada_titular,Trabajo titular: 9.4 hrs × Bs12.1/hr,112.96,Bs,0.0,imputado,False,titular,6050,3030.0,True,0.0,0.0,2454.91,1231.42
TX00008,F001,comercio,Santa Cruz,M,False,1,Lunes,M7_TRANSFERENCIAS,retiro_titular,Retiro para gastos del hogar,9.16,Bs,0.0,efectivo,False,hogar,3030,1010.0,False,0.0,0.0,2454.91,1231.42
TX00009,F001,comercio,Santa Cruz,M,False,2,Martes,M1A_VENTAS,venta_contado,Venta comercio día 2 tx1,16.51,Bs,0.0,efectivo,False,cliente,1010,4010.0,False,0.0,0.0,2686.23,1229.16
TX00010,F001,comercio,Santa Cruz,M,False,2,Martes,M1A_VENTAS,venta_credito,Venta comercio día 2 tx2,46.84,Bs,0.0,credito,True,cliente,1110,4020.0,False,0.0,0.0,2686.23,1229.16
TX00011,F001,comercio,Santa Cruz,M,False,2,Martes,M1A_VENTAS,venta_contado,Venta comercio día 2 tx3,74.55,Bs,0.0,efectivo,False,cliente,1010,4010.0,False,0.0,0.0,2686.23,1229.16
TX00012,F001,comercio,Santa Cruz,M,False,2,Martes,M1A_VENTAS,venta_contado,Venta comercio día 2 tx4,38.14,Bs,0.0,efectivo,False,cliente,1010,4010.0,False,0.0,0.0,2686.23,1229.16
TX00013,F001,comercio,Santa Cruz,M,False,2,Martes,M1A_VENTAS,venta_contado,Venta comercio día 2 tx5,58.0,Bs,0.0,efectivo,False,cliente,1010,4010.0,False,0.0,0.0,2686.23,1229.16
TX00014,F001,comercio,Santa Cruz,M,False,2,Martes,M1A_VENTAS,venta_contado,Venta comercio día 2 tx6,31.01,Bs,0.0,efectivo,False,cliente,1010,4010.0,False,0.0,0.0,2686.23,1229.16
TX00015,F001,comercio,Santa Cruz,M,False,2,Martes,M1A_VENTAS,venta_contado,Venta comercio día 2 tx7,33.32,Bs,0.0,efectivo,False,cliente,1010,4010.0,False,0.0,0.0,2686.23,1229.16
TX00016,F001,comercio,Santa Cruz,M,False,2,Martes,M1C_AUTOCONSUMO,autoconsumo,Consumo del hogar desde mercadería/producción,7.54,Bs,0.0,en_especie,False,hogar,4040,5010.0,True,0.0,0.0,2686.23,1229.16
TX00017,F001,comercio,Santa Cruz,M,False,2,Martes,M5_TRABAJO_IMPUTADO,mano_obra_imputada_titular,Trabajo titular: 9.4 hrs × Bs12.1/hr,112.96,Bs,0.0,imputado,False,titular,6050,3030.0,True,0.0,0.0,2686.23,1229.16
TX00018,F001,comercio,Santa Cruz,M,False,2,Martes,M7_TRANSFERENCIAS,retiro_titular,Retiro para gastos del hogar,20.22,Bs,0.0,efectivo,False,hogar,3030,1010.0,False,0.0,0.0,2686.23,1229.16
TX00019,F001,comercio,Santa Cruz,M,False,3,Miércoles,M1A_VENTAS,venta_contado,Venta comercio día 3 tx1,31.92,Bs,0.0,efectivo,False,cliente,1010,4010.0,False,0.0,0.0,2796.39,1229.16
TX00020,F001,comercio,Santa Cruz,M,False,3,Miércoles,M1A_VENTAS,venta_contado,Venta comercio día 3 tx2,78.59,Bs,0.0,efectivo,False,cliente,1010,4010.0,False,0.0,0.0,2796.39,1229.16
TX00021,F001,comercio,Santa Cruz,M,False,3,Miércoles,M1A_VENTAS,venta_contado,Venta comercio día 3 tx4,7.36,Bs,0.0,efectivo,False,cliente,1010,4010.0,False,0.0,0.0,2796.39,1229.16
TX00022,F001,comercio,Santa Cruz,M,False,3,Miércoles,M1A_VENTAS,venta_credito,Venta comercio día 3 tx5,65.29,Bs,0.0,credito,True,cliente,1110,4020.0,False,0.0,0.0,2796.39,1229.16
TX00023,F001,comercio,Santa Cruz,M,False,3,Miércoles,M1A_VENTAS,venta_contado,Venta comercio día 3 tx6,30.71,USD,3.23,efectivo,False,cliente,1010,4010.0,False,0.0,0.0,2796.39,1229.16
TX00024,F001,comercio,Santa Cruz,M,False,3,Miércoles,M3_GASTOS_OP,gasto_transporte,Pasaje / flete / combustible,13.41,Bs,0.0,efectivo,False,proveedor_servicio,6010,1010.0,False,0.0,0.0,2796.39,1229.16
TX00025,F001,comercio,Santa Cruz,M,False,3,Miércoles,M5_TRABAJO_IMPUTADO,mano_obra_imputada_titular,Trabajo titular: 9.4 hrs × Bs12.1/hr,112.96,Bs,0.0,imputado,False,titular,6050,3030.0,True,0.0,0.0,2796.39,1229.16
TX00026,F001,comercio,Santa Cruz,M,False,3,Miércoles,M7_TRANSFERENCIAS,retiro_titular,Retiro para gastos del hogar,25.02,Bs,0.0,efectivo,False,hogar,3030,1010.0,False,0.0,0.0,2796.39,1229.16
TX00027,F001,comercio,Santa Cruz,M,False,4,Jueves,M1A_VENTAS,venta_contado,Venta comercio día 4 tx1,10.92,Bs,0.0,efectivo,False,cliente,1010,4010.0,False,0.0,0.0,2977.74,1325.67
TX00028,F001,comercio,Santa Cruz,M,False,4,Jueves,M1A_VENTAS,venta_credito,Venta comercio día 4 tx3,18.33,Bs,0.0,credito,True,cliente,1110,4020.0,False,0.0,0.0,2977.74,1325.67
TX00029,F001,comercio,Santa Cruz,M,False,4,Jueves,M1A_VENTAS,venta_contado,Venta comercio día 4 tx4,36.08,Bs,0.0,efectivo,False,cliente,1010,4010.0,False,0.0,0.0,2977.74,1325.67
TX00030,F001,comercio,Santa Cruz,M,False,4,Jueves,M1A_VENTAS,venta_contado,Venta comercio día 4 tx5,30.27,Bs,0.0,efectivo,False,cliente,1010,4010.0,False,0.0,0.0,2977.74,1325.67
TX00031,F001,comercio,Santa Cruz,M,False,4,Jueves,M1A_VENTAS,venta_contado,Venta comercio día 4 tx6,66.1,Bs,0.0,efectivo,False,cliente,1010,4010.0,False,0.0,0.0,2977.74,1325.67
TX00032,F001,comercio,Santa Cruz,M,False,4,Jueves,M1A_VENTAS,venta_contado,Venta comercio día 4 tx7,25.98,Bs,0.0,efectivo,False,cliente,1010,4010.0,False,0.0,0.0,2977.74,1325.67
TX00033,F001,comercio,Santa Cruz,M,False,4,Jueves,M1A_VENTAS,venta_contado,Venta comercio día 4 tx8,9.16,Bs,0.0,efectivo,False,cliente,1010,4010.0,False,0.0,0.0,2977.74,1325.67
TX00034,F001,comercio,Santa Cruz,M,False,4,Jueves,M1C_AUTOCONSUMO,autoconsumo,Consumo del hogar desde mercadería/producción,6.36,Bs,0.0,en_especie,False,hogar,4040,5010.0,True,0.0,0.0,2977.74,1325.67
TX00035,F001,comercio,Santa Cruz,M,False,4,Jueves,M2_COMPRAS,compra_insumos,Compra insumos/mercadería comercio,115.79,Bs,0.0,efectivo,False,proveedor,1210,1010.0,False,0.0,0.0,2977.74,1325.67
TX00036,F001,comercio,Santa Cruz,M,False,4,Jueves,M3_GASTOS_OP,gasto_transporte,Pasaje / flete / combustible,9.28,Bs,0.0,efectivo,False,proveedor_servicio,6010,1010.0,False,0.0,0.0,2977.74,1325.67
TX00037,F001,comercio,Santa Cruz,M,False,4,Jueves,M5_TRABAJO_IMPUTADO,mano_obra_imputada_titular,Trabajo titular: 9.4 hrs × Bs12.1/hr,112.96,Bs,0.0,imputado,False,titular,6050,3030.0,True,0.0,0.0,2977.74,1325.67
TX00038,F001,comercio,Santa Cruz,M,False,4,Jueves,M7_TRANSFERENCIAS,retiro_titular,Retiro para gastos del hogar,41.78,Bs,0.0,efectivo,False,hogar,3030,1010.0,False,0.0,0.0,2977.74,1325.67
TX00039,F001,comercio,Santa Cruz,M,False,4,Jueves,M7_TRANSFERENCIAS,aporte_hogar,Inyección de efectivo del hogar al negocio,169.7,Bs,0.0,efectivo,False,hogar,1010,3040.0,False,0.0,0.0,2977.74,1325.67
TX00040,F001,comercio,Santa Cruz,M,False,5,Viernes,M1A_VENTAS,venta_contado,Venta comercio día 5 tx2,21.57,Bs,0.0,efectivo,False,cliente,1010,4010.0,False,0.0,0.0,2939.24,1323.03
TX00041,F001,comercio,Santa Cruz,M,False,5,Viernes,M1A_VENTAS,venta_contado,Venta comercio día 5 tx3,7.68,Bs,0.0,efectivo,False,cliente,1010,4010.0,False,0.0,0.0,2939.24,1323.03
TX00042,F001,comercio,Santa Cruz,M,False,5,Viernes,M1A_VENTAS,venta_contado,Venta comercio día 5 tx4,13.95,Bs,0.0,efectivo,False,cliente,1010,4010.0,False,0.0,0.0,2939.24,1323.03
TX00043,F001,comercio,Santa Cruz,M,False,5,Viernes,M1C_AUTOCONSUMO,autoconsumo,Consumo del hogar desde mercadería/producción,8.8,Bs,0.0,en_especie,False,hogar,4040,5010.0,True,0.0,0.0,2939.24,1323.03
TX00044,F001,comercio,Santa Cruz,M,False,5,Viernes,M3_GASTOS_OP,gasto_transporte,Pasaje / flete / combustible,7.16,Bs,0.0,efectivo,False,proveedor_servicio,6010,1010.0,False,0.0,0.0,2939.24,1323.03
TX00045,F001,comercio,Santa Cruz,M,False,5,Viernes,M4B_PAGO_DEUDA,pago_deuda,Cuota IFD/cooperativa: capital + interés,69.44,Bs,0.0,efectivo,False,IFD/cooperativa,2110_capital+6100_interes,1010.0,False,54.4,15.04,2939.24,1323.03
TX00046,F001,comercio,Santa Cruz,M,False,5,Viernes,M5_TRABAJO_IMPUTADO,mano_obra_imputada_titular,Trabajo titular: 9.4 hrs × Bs12.1/hr,112.96,Bs,0.0,imputado,False,titular,6050,3030.0,True,0.0,0.0,2939.24,1323.03
TX00047,F001,comercio,Santa Cruz,M,False,5,Viernes,M7_TRANSFERENCIAS,retiro_titular,Retiro para gastos del hogar,5.11,Bs,0.0,efectivo,False,hogar,3030,1010.0,False,0.0,0.0,2939.24,1323.03
TX00048,F001,comercio,Santa Cruz,M,False,6,Sábado,M1A_VENTAS,venta_contado,Venta comercio día 6 tx1,16.81,Bs,0.0,efectivo,False,cliente,1010,4010.0,False,0.0,0.0,3112.98,1496.69
TX00049,F001,comercio,Santa Cruz,M,False,6,Sábado,M1A_VENTAS,venta_contado,Venta comercio día 6 tx2,78.33,Bs,0.0,efectivo,False,cliente,1010,4010.0,False,0.0,0.0,3112.98,1496.69
TX00050,F001,comercio,Santa Cruz,M,False,6,Sábado,M1A_VENTAS,venta_contado,Venta comercio día 6 tx3,98.33,Bs,0.0,efectivo,False,cliente,1010,4010.0,False,0.0,0.0,3112.98,1496.69
TX00051,F001,comercio,Santa Cruz,M,False,6,Sábado,M1A_VENTAS,venta_contado,Venta comercio día 6 tx4,27.4,Bs,0.0,efectivo,False,cliente,1010,4010.0,False,0.0,0.0,3112.98,1496.69
TX00052,F001,comercio,Santa Cruz,M,False,6,Sábado,M1A_VENTAS,venta_contado,Venta comercio día 6 tx5,64.75,Bs,0.0,efectivo,False,cliente,1010,4010.0,False,0.0,0.0,3112.98,1496.69
TX00053,F001,comercio,Santa Cruz,M,False,6,Sábado,M1A_VENTAS,venta_contado,Venta comercio día 6 tx6,9.93,Bs,0.0,efectivo,False,cliente,1010,4010.0,False,0.0,0.0,3112.98,1496.69
TX00054,F001,comercio,Santa Cruz,M,False,6,Sábado,M1A_VENTAS,venta_contado,Venta comercio día 6 tx7,113.99,Bs,0.0,efectivo,False,cliente,1010,4010.0,False,0.0,0.0,3112.98,1496.69
TX00055,F001,comercio,Santa Cruz,M,False,6,Sábado,M1C_AUTOCONSUMO,autoconsumo,Consumo del hogar desde mercadería/producción,7.1,Bs,0.0,en_especie,False,hogar,4040,5010.0,True,0.0,0.0,3112.98,1496.69
TX00056,F001,comercio,Santa Cruz,M,False,6,Sábado,M2_COMPRAS,compra_insumos,Compra insumos/mercadería comercio,206.81,Bs,0.0,efectivo,False,proveedor,1210,1010.0,False,0.0,0.0,3112.98,1496.69
TX00057,F001,comercio,Santa Cruz,M,False,6,Sábado,M3_GASTOS_OP,gasto_transporte,Pasaje / flete / combustible,7.91,Bs,0.0,efectivo,False,proveedor_servicio,6010,1010.0,False,0.0,0.0,3112.98,1496.69
TX00058,F001,comercio,Santa Cruz,M,False,6,Sábado,M5_TRABAJO_IMPUTADO,mano_obra_imputada_titular,Trabajo titular: 9.4 hrs × Bs12.1/hr,112.96,Bs,0.0,imputado,False,titular,6050,3030.0,True,0.0,0.0,3112.98,1496.69
